                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.30128,                0.85663,                0.90745,                0.97788,                0.99411,                  0.995,                0.97111,                0.24188,                0.20029,                0.88169,             9.7391e-05,             9.7391e-05,             9.7391e-05
                      2,                0.30406,                0.56113,                0.90289,                0.95999,                0.98632,                0.99362,                0.96952,                0.24329,                0.20405,                0.88328,             0.00016315,             0.00016315,             0.00016315
                      3,                0.31106,                 0.5054,                0.90803,                0.97404,                0.98455,                0.98888,                0.96271,                0.24503,                0.19706,                 0.8838,             0.00017721,             0.00017721,             0.00017721
                      4,                0.30111,                0.46587,                0.89497,                0.98456,                0.98264,                0.99204,                0.95996,                0.23856,                0.18451,                0.88636,             0.00014847,             0.00014847,             0.00014847
                      5,                0.29042,                0.42278,                0.89816,                0.98622,                0.99505,                0.99492,                0.96937,                0.22031,                 0.1663,                 0.8669,              9.996e-05,              9.996e-05,              9.996e-05
                      6,                0.26694,                 0.3923,                0.88091,                0.98368,                0.99188,                0.99489,                0.96872,                0.23111,                0.15967,                0.87778,              5.145e-05,              5.145e-05,              5.145e-05
