                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.2572,                0.61222,                0.87568,                0.98141,                0.99029,                0.99497,                0.96665,                0.27985,                0.20164,                0.92989,             9.7391e-05,             9.7391e-05,             9.7391e-05
                      2,                0.29435,                0.54666,                0.90046,                0.98642,                0.98992,                0.99498,                 0.9675,                0.23138,                 0.1784,                0.87719,             0.00013091,             0.00013091,             0.00013091
                      3,                0.30167,                0.53502,                0.91255,                 0.9827,                0.98875,                0.99465,                0.96506,                0.22948,                 0.1789,                0.87994,             7.2021e-05,             7.2021e-05,             7.2021e-05
