                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.24238,                0.55866,                0.86831,                0.98066,                0.98916,                0.99345,                0.96574,                0.24766,                0.19256,                0.88991,             9.7391e-05,             9.7391e-05,             9.7391e-05
                      2,                 0.2697,                 0.4367,                0.88209,                0.95848,                0.99619,                0.99203,                0.96399,                0.23573,                0.20151,                0.87734,             0.00016315,             0.00016315,             0.00016315
                      3,                0.30606,                0.52742,                0.90553,                0.97209,                0.98345,                0.99454,                0.95908,                0.27547,                0.21252,                 0.9265,             0.00019657,             0.00019657,             0.00019657
                      4,                0.30271,                0.46998,                0.89819,                0.98193,                0.98859,                 0.9947,                0.96264,                  0.252,                0.19232,                0.89069,             0.00014847,             0.00014847,             0.00014847
                      5,                0.28499,                 0.4185,                0.89608,                0.97524,                0.99274,                0.99468,                0.96822,                0.23468,                0.17172,                0.88352,              9.996e-05,              9.996e-05,              9.996e-05
                      6,                0.26499,                0.38477,                0.88618,                0.98358,                0.99346,                  0.994,                0.96773,                0.22579,                0.15373,                0.87777,              5.145e-05,              5.145e-05,              5.145e-05
