                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.31941,                0.51253,                0.86354,                0.97881,                0.97501,                0.99254,                0.93674,                0.26667,                0.26007,                0.82479,             0.00019338,             0.00019338,             0.00019338
                     37,                0.32839,                0.49962,                0.86477,                 0.9799,                0.97383,                0.99275,                0.95065,                0.26182,                0.25228,                0.81835,             0.00019074,             0.00019074,             0.00019074
                     38,                0.31895,                0.49334,                0.85998,                0.98099,                0.98109,                0.99375,                0.95053,                 0.2579,                0.23174,                0.81688,             0.00018809,             0.00018809,             0.00018809
                     39,                0.31679,                 0.4721,                0.86185,                 0.9828,                0.98358,                0.99322,                0.94855,                0.26498,                0.23156,                0.82338,              0.0001845,              0.0001845,              0.0001845
                     40,                0.31189,                0.45792,                0.85712,                0.97664,                0.99016,                0.99352,                0.95287,                0.25732,                0.22149,                0.81619,             0.00018183,             0.00018183,             0.00018183
                     41,                0.31641,                0.47761,                0.86001,                0.96473,                0.97764,                0.99212,                0.95572,                0.25861,                0.25206,                0.81564,             0.00017915,             0.00017915,             0.00017915
                     42,                0.31313,                0.46606,                0.86449,                0.97075,                0.98784,                0.99291,                0.95302,                 0.2535,                0.22827,                0.81379,             0.00017648,             0.00017648,             0.00017648
                     43,                0.31514,                0.45606,                0.85957,                0.98221,                0.98961,                0.99303,                0.95362,                0.24761,                0.21568,                0.81393,             0.00017486,             0.00017486,             0.00017486
                     44,                  0.305,                0.45005,                0.85491,                0.97998,                0.98369,                 0.9925,                0.94939,                0.25589,                0.22154,                0.82746,             0.00017221,             0.00017221,             0.00017221
                     45,                0.31025,                0.44581,                 0.8609,                0.98086,                0.98422,                0.99285,                0.95195,                0.25239,                 0.2259,                0.81878,             0.00016957,             0.00016957,             0.00016957
                     46,                0.30235,                0.43531,                0.85575,                0.98432,                0.97981,                0.99291,                0.95417,                0.25173,                0.21793,                0.81299,             0.00016692,             0.00016692,             0.00016692
                     47,                0.30011,                0.44732,                0.85255,                0.98282,                 0.9863,                0.99407,                0.95246,                 0.2607,                0.20919,                0.82079,             0.00016428,             0.00016428,             0.00016428
